-3.6244,2.8695,3.0593,2.11,0.62461,-2.6121,2.0251,-1.3455,0.9
0.80442,-2.6945,3.6032,1.7587,1.1066,-1.7014,-2.6124,-1.5708,0.9
-6.8141,0.17059,-2.7756,-2.2168,1.1738,-7.0707,6.6909,3.5938,0.9
0.98737,-5.8763,-6.0369,2.2827,7.1575,0.19949,-1.6383,3.2041,0.9
-1.2274,4.3598,-3.5187,1.0656,2.946,-4.122,4.0077,-1.5755,0.9
-2.1025,-2.6379,2.8623,1.5906,0.11957,-2.6985,2.3229,-1.0015,0.9
2.8385,-4.3948,-1.8831,-1.3119,2.4812,-2.5155,4.6521,2.3372,0.9
-4.2073,-3.2387,-7.4364,2.0251,3.1078,-4.9468,-2.4,0.16547,0.9
-0.035496,0.63433,-4.0606,-1.2428,0.012011,-3.5177,1.9282,1.0751,0.9
0.14783,-0.052316,2.3755,-2.1688,1.4801,-0.38134,0.87521,4.1886,0.9
1.8463,2.0455,6.2493,2.6258,-1.9195,-2.2272,0.21251,-5.1524,0.9
-8.7776,7.5658,1.2408,-4.038,4.9736,-8.5063,-3.2555,7.9704,0.9
1.254,-0.93872,-3.4268,2.7987,6.5202,-12.116,1.1425,-4.6207,0.9
-5.4969,5.294,5.1461,6.7766,-0.57529,-9.9771,8.4542,-12.383,0.9
3.3909,-1.6508,2.4559,-1.178,2.69,0.045061,1.0416,3.4405,0.9
-1.3874,-2.2919,-8.7039,-1.1086,1.2271,0.81276,-0.5511,3.2333,0.9
-0.70255,-1.948,3.4528,-1.5995,6.9814,-2.5707,-1.0259,5.6751,0.9
-0.29243,-1.4598,-5.4797,-2.9752,2.415,-3.8164,4.2235,4.2104,0.9
-1.1134,-0.43994,9.475,7.1182,3.6666,-5.9759,-4.4508,-7.4058,0.9
0.027732,-7.3022,-8.0784,-0.95983,4.707,-1.5632,-2.9142,7.0006,0.9
1.7917,-2.1998,-4.667,-1.6452,1.8676,-4.5613,1.1771,1.9021,0.9
-3.1778,-1.5304,-4.951,-2.3995,-0.029282,-6.5418,1.669,2.3428,0.9
