8.7063,5.81,7.17,6.9902,1.4309,0.26566,1.101,1.1982
6.6873,4.2098,2.1631,6.3431,1.3093,0.74275,0.59344,1.6037
1.8528,8.0946,1.433,4.0508,3.029,1.0306,2.1734,1.8926
0.67773,6.1202,1.7052,1.2895,0.34357,1.9477,1.5383,1.3719
7.5044,5.8702,1.1008,3.4453,1.3334,0.85746,0.62374,1.319
2.082,0.32531,2.7996,8.7829,2.059,2.3351,1.2871,2.8375
0.4521,9.7103,7.8455,3.5342,2.1223,0.4095,0.55326,1.374
7.4739,8.074,9.4921,7.3024,2.068,1.0167,1.4538,1.1134
6.889,4.9604,2.8887,9.7875,0.57612,1.14,1.053,0.1255
3.4646,7.6255,0.8736,9.9755,0.76485,0.84696,1.1507,0.21705
9.2997,3.4579,4.8873,5.6762,0.67703,0.54139,1.3188,1.5575
2.1717,6.7562,5.4345,0.72478,1.0305,1.0765,1.6873,2.2655
7.1074,7.1136,4.5667,9.9295,1.1188,1.9809,1.6955,1.8024
9.6727,3.4927,7.0823,4.6788,1.0811,1.7707,0.53296,1.5819
9.939,1.0001,1.6087,5.8145,1.1173,1.4988,0.90569,1.3429
6.1174,4.6802,0.98471,6.4273,1.2015,0.62263,0.34882,2.6436
2.7906,1.3064,6.7783,5.9592,1.3632,2.8362,2.0404,0.96407
2.0805,2.26,8.7389,5.1408,2.2435,1.6637,0.89152,3.047
6.7015,2.8262,3.2961,7.8943,0.6089,1.6969,0.63552,0.61522
5.8855,8.7252,9.034,0.34068,0.77204,1.7913,1.3273,1.8865
1.9414,8.7398,2.6133,9.5298,0.74991,1.4129,0.68402,0.59725
1.5636,9.4714,9.0617,5.2672,0.25663,1.8421,1.2326,1.48
0.16557,8.6895,7.8888,1.837,1.5589,1.6298,0.3991,1.0018
5.0037,0.87539,8.6562,2.466,0.48946,1.184,1.0715,0.86866
5.8172,7.4465,6.1315,1.1973,1.2763,0.19445,1.6582,1.4177
0.66594,9.9843,4.2093,7.9897,1.0218,1.2179,0.94462,1.2883
4.3258,3.0873,7.7898,8.857,1.0064,1.9478,0.94567,0.7823
9.7343,0.55017,1.6597,5.2418,1.1349,0.75648,0.85284,0.64869
0.47132,5.5931,4.1806,7.3616,0.71011,2.1379,0.28328,2.0775
6.1541,9.4857,2.3617,6.686,0.43701,0.96272,1.1795,0.42454
9.0467,2.402,6.2837,1.0202,1.5532,1.4189,1.449,0.46868
1.0168,1.6288,3.6826,2.7859,1.6046,1.3881,1.5726,1.9306
9.1441,4.8942,4.5023,4.8343,2.0786,1.5374,0.78396,1.063
4.0184,6.7112,8.7017,7.8716,0.75095,1.1593,0.34221,1.2974
9.0735,9.7604,6.7487,3.1727,1.2026,0.44945,0.93234,1.1806
7.8543,3.7731,2.2729,1.8575,1.667,1.9354,1.0272,2.3656
0.41338,7.7102,9.1411,6.0651,0.5561,0.96628,0.71292,1.4057
0.21775,8.4864,6.84,7.7517,1.5515,2.1717,1.1291,1.2823
3.5481,5.2335,1.3025,3.1881,2.1269,1.3027,0.48444,1.8001
4.8921,2.8553,7.576,7.6524,0.34361,1.4961,1.1796,0.35772
9.9652,9.6037,6.6192,7.2018,1.6919,0.9115,0.80057,1.808
1.758,8.2661,0.98719,6.9866,0.18121,2.1866,0.96668,1.9324
4.5957,0.87523,6.7016,0.5525,2.2017,1.8705,0.60925,0.89574
7.8261,6.5965,7.025,8.9302,1.3606,0.86791,1.4394,1.6684
8.9756,7.2086,3.7579,8.1286,1.9979,1.3438,0.16805,0.76921
1.2109,9.4065,1.7211,0.40226,1.7413,1.6247,1.5108,3.0512
6.4935,6.1015,5.5211,7.6898,2.5618,1.3354,1.2444,0.58296
6.6056,8.7383,0.58742,9.6504,1.1761,1.3741,2.3491,0.79281
7.0247,9.9553,3.7688,0.36162,1.3662,1.9549,1.4105,1.9892
1.0223,2.6072,0.11332,9.9214,1.4193,0.71496,0.56834,2.2031
3.979,8.2649,4.2222,7.1455,1.7781,1.4115,0.87112,0.73209
1.3137,0.53229,8.9452,6.6046,0.29711,1.7395,1.8703,1.5183
6.266,1.1708,9.7545,6.6145,1.5258,2.8933,0.58228,1.085
7.0521,8.698,3.8455,0.044674,2.8908,0.95027,1.6344,1.8747
